epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,479.72,1.2384,0.91403,1.09967,0.83772,0.7141,0.81537,0.51518,1.24939,1.39395,1.12221,0.0011882,0.0011882,0.0011882
43,492.039,1.17196,0.91291,1.08511,0.85199,0.74648,0.86528,0.5685,1.14408,1.23993,1.06949,0.0011684,0.0011684,0.0011684
44,503.534,1.13233,0.9057,1.06902,0.84104,0.79289,0.89888,0.60794,1.10152,1.15307,1.05792,0.0011486,0.0011486,0.0011486
45,516.174,1.12643,0.87538,1.05562,0.84104,0.79289,0.89888,0.60794,1.10152,1.15307,1.05792,0.0011288,0.0011288,0.0011288
46,529.253,1.05941,0.86157,1.05615,0.85917,0.80878,0.89635,0.59773,1.12217,1.13703,1.06288,0.001109,0.001109,0.001109
47,540.924,1.10761,0.90802,1.08157,0.85729,0.71758,0.81519,0.52479,1.2497,1.17808,1.12374,0.0010892,0.0010892,0.0010892
48,551.19,1.08166,0.94542,1.06774,0.88983,0.70029,0.82558,0.53183,1.23266,1.08351,1.11771,0.0010694,0.0010694,0.0010694
49,561.805,1.22892,0.922,1.10904,0.88983,0.70029,0.82558,0.53183,1.23266,1.08351,1.11771,0.0010496,0.0010496,0.0010496
50,572.879,1.07547,0.86324,1.03225,0.87199,0.81556,0.89553,0.5881,1.15373,0.98455,1.07696,0.0010298,0.0010298,0.0010298
51,588.205,1.0876,0.90991,1.08993,0.89641,0.84788,0.92702,0.62054,1.10539,0.90749,1.05474,0.00101,0.00101,0.00101
52,598.836,1.01089,0.80808,1.0145,0.90543,0.85532,0.93331,0.65382,1.04658,0.86365,1.02319,0.0009902,0.0009902,0.0009902
53,610.337,1.08499,0.95217,1.09128,0.90543,0.85532,0.93331,0.65382,1.04658,0.86365,1.02319,0.0009704,0.0009704,0.0009704
54,618.533,1.05913,0.85133,1.03562,0.90153,0.84438,0.92684,0.64254,1.02406,0.8747,1.01115,0.0009506,0.0009506,0.0009506
55,626.308,1.05738,0.82944,1.01886,0.87553,0.86167,0.92852,0.65039,1.01346,0.8628,1.00663,0.0009308,0.0009308,0.0009308
56,633.416,0.97443,0.81217,1.0108,0.89696,0.86167,0.93716,0.65859,1.01454,0.83253,1.01356,0.000911,0.000911,0.000911
57,640.281,0.95642,0.79785,1.02342,0.89696,0.86167,0.93716,0.65859,1.01454,0.83253,1.01356,0.0008912,0.0008912,0.0008912
