epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,295.999,0.38572,0.43306,0.1193,0.85804,0.8535,0.90748,0.65452,0.33888,0.45959,0.12486,0.0011882,0.0011882,0.0011882
43,302.829,0.39845,0.47952,0.13349,0.87743,0.84726,0.91695,0.67528,0.3166,0.43221,0.11458,0.0011684,0.0011684,0.0011684
44,309.816,0.3701,0.43473,0.10561,0.86854,0.85303,0.918,0.68477,0.31062,0.43631,0.11359,0.0011486,0.0011486,0.0011486
45,316.9,0.37494,0.42917,0.11301,0.86854,0.85303,0.918,0.68477,0.31062,0.43631,0.11359,0.0011288,0.0011288,0.0011288
46,324.155,0.37566,0.4724,0.10963,0.86911,0.86455,0.9236,0.69932,0.3015,0.43669,0.11204,0.001109,0.001109,0.001109
47,331.216,0.34889,0.43379,0.11065,0.90458,0.87425,0.94251,0.70852,0.30023,0.46158,0.10613,0.0010892,0.0010892,0.0010892
48,338.131,0.32384,0.43245,0.10676,0.90458,0.87425,0.94251,0.70852,0.30023,0.46158,0.10613,0.0010694,0.0010694,0.0010694
49,345.391,0.31694,0.44341,0.0937,0.90582,0.88692,0.94595,0.69807,0.30812,0.50303,0.11156,0.0010496,0.0010496,0.0010496
50,352.404,0.34112,0.50439,0.10149,0.90582,0.88692,0.94595,0.69807,0.30812,0.50303,0.11156,0.0010298,0.0010298,0.0010298
51,359.35,0.32139,0.43629,0.10705,0.89836,0.91354,0.95271,0.71557,0.29843,0.43813,0.11383,0.00101,0.00101,0.00101
52,366.194,0.33245,0.43638,0.09061,0.89715,0.92795,0.95883,0.73604,0.28128,0.39602,0.10468,0.0009902,0.0009902,0.0009902
53,373.3,0.37975,0.45983,0.12232,0.89715,0.92795,0.95883,0.73604,0.28128,0.39602,0.10468,0.0009704,0.0009704,0.0009704
54,380.133,0.34238,0.40754,0.10448,0.87182,0.93084,0.95691,0.73093,0.28814,0.4107,0.10185,0.0009506,0.0009506,0.0009506
55,386.764,0.35431,0.40916,0.09798,0.89547,0.91349,0.96128,0.7418,0.28123,0.40017,0.09411,0.0009308,0.0009308,0.0009308
56,393.981,0.31361,0.39201,0.09759,0.89547,0.91349,0.96128,0.7418,0.28123,0.40017,0.09411,0.000911,0.000911,0.000911
57,400.927,0.31678,0.3834,0.10685,0.90927,0.9366,0.95871,0.75798,0.2681,0.37557,0.08865,0.0008912,0.0008912,0.0008912
58,407.763,0.31661,0.38033,0.10475,0.90927,0.9366,0.95871,0.75798,0.2681,0.37557,0.08865,0.0008714,0.0008714,0.0008714
59,414.645,0.34194,0.38127,0.10096,0.91668,0.92219,0.96188,0.76865,0.25201,0.38381,0.08382,0.0008516,0.0008516,0.0008516
60,421.855,0.3357,0.39916,0.0854,0.92305,0.89337,0.95868,0.76567,0.25494,0.39131,0.08521,0.0008318,0.0008318,0.0008318
61,428.54,0.35143,0.41621,0.09821,0.92305,0.89337,0.95868,0.76567,0.25494,0.39131,0.08521,0.000812,0.000812,0.000812
62,435.479,0.33798,0.37503,0.09957,0.91748,0.89718,0.95506,0.76588,0.25324,0.38045,0.08453,0.0007922,0.0007922,0.0007922
